figure_id,figure_group,algorithm,title,png_path,pdf_path,caption
local_outlier_factor_paper_panel,algorithm,Local Outlier Factor,Local Outlier Factor paper panel,results\run_sessions\first-try\figures\thesis\local_outlier_factor_paper_panel.png,results\run_sessions\first-try\figures\thesis\local_outlier_factor_paper_panel.pdf,"Paper panel for Local Outlier Factor. The three heatmaps summarize mean Range F1 by dataset variant, series length, and anomaly-ratio regime, while the runtime scatter shows which configured variants convert extra cost into measurable gains. In this run, the strongest Local Outlier Factor variant was Local Outlier Factor | Leaf size 60 with mean Range F1 0.161 and mean ROC AUC 0.829."
local_outlier_factor_ablation_panel,ablation,Local Outlier Factor,Local Outlier Factor ablation panel,results\run_sessions\first-try\figures\thesis\local_outlier_factor_ablation_panel.png,results\run_sessions\first-try\figures\thesis\local_outlier_factor_ablation_panel.pdf,"One-factor-at-a-time ablation panel for Local Outlier Factor. Horizontal bars report paired deltas against the algorithm baseline, error bars show bootstrap 95% confidence intervals, the runtime scatter isolates cost, and the heatmap shows regime sensitivity by dataset variant. The strongest positive ablation for Local Outlier Factor in this run was Leaf size 60 with mean Range F1 delta +0.000."
local_outlier_factor_variant_comparison,algorithm,Local Outlier Factor,Local Outlier Factor side-by-side variant comparison,results\run_sessions\first-try\figures\thesis\local_outlier_factor_variant_comparison_137_ucr_anomaly_internalbleeding18_2300_4485_4587.png,results\run_sessions\first-try\figures\thesis\local_outlier_factor_variant_comparison_137_ucr_anomaly_internalbleeding18_2300_4485_4587.pdf,"Side-by-side comparison of 6 Local Outlier Factor variants on the shared dataset 137_UCR_Anomaly_InternalBleeding18_2300_4485_4587. The top two panels show the raw and normalized signal with the ground-truth anomaly, and the lower panels compare per-variant score traces and threshold crossings on exactly the same time range."
local_outlier_factor_showcase,deep_dive,Local Outlier Factor,Local Outlier Factor showcase deep dive,results\run_sessions\first-try\figures\thesis\local_outlier_factor_showcase_137_ucr_anomaly_internalbleeding18_2300_4485_4587.png,results\run_sessions\first-try\figures\thesis\local_outlier_factor_showcase_137_ucr_anomaly_internalbleeding18_2300_4485_4587.pdf,"Showcase deep dive for Local Outlier Factor on 137_UCR_Anomaly_InternalBleeding18_2300_4485_4587. The panels align the raw signal, normalized signal, and anomaly score for the strongest selected variant on that dataset, making it possible to show exactly where the detector crosses threshold relative to the ground-truth anomaly interval. The selected showcase variant was Local Outlier Factor | Neighbors 10 with Range F1 0.802, ROC AUC 0.998, and runtime 0.116s."
sand_paper_panel,algorithm,SAND,SAND paper panel,results\run_sessions\first-try\figures\thesis\sand_paper_panel.png,results\run_sessions\first-try\figures\thesis\sand_paper_panel.pdf,"Paper panel for SAND. The three heatmaps summarize mean Range F1 by dataset variant, series length, and anomaly-ratio regime, while the runtime scatter shows which configured variants convert extra cost into measurable gains. In this run, the strongest SAND variant was SAND | Subseq x2 with mean Range F1 0.303 and mean ROC AUC 0.932."
sand_ablation_panel,ablation,SAND,SAND ablation panel,results\run_sessions\first-try\figures\thesis\sand_ablation_panel.png,results\run_sessions\first-try\figures\thesis\sand_ablation_panel.pdf,"One-factor-at-a-time ablation panel for SAND. Horizontal bars report paired deltas against the algorithm baseline, error bars show bootstrap 95% confidence intervals, the runtime scatter isolates cost, and the heatmap shows regime sensitivity by dataset variant. The strongest positive ablation for SAND in this run was Subseq x2 with mean Range F1 delta +0.013."
sand_variant_comparison,algorithm,SAND,SAND side-by-side variant comparison,results\run_sessions\first-try\figures\thesis\sand_variant_comparison_054_ucr_anomaly_distortedwalkingaceleration5_2700_5920_5979.png,results\run_sessions\first-try\figures\thesis\sand_variant_comparison_054_ucr_anomaly_distortedwalkingaceleration5_2700_5920_5979.pdf,"Side-by-side comparison of 7 SAND variants on the shared dataset 054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979. The top two panels show the raw and normalized signal with the ground-truth anomaly, and the lower panels compare per-variant score traces and threshold crossings on exactly the same time range."
sand_showcase,deep_dive,SAND,SAND showcase deep dive,results\run_sessions\first-try\figures\thesis\sand_showcase_130_ucr_anomaly_gp711markerlfm5z4_4000_6527_6645.png,results\run_sessions\first-try\figures\thesis\sand_showcase_130_ucr_anomaly_gp711markerlfm5z4_4000_6527_6645.pdf,"Showcase deep dive for SAND on 130_UCR_Anomaly_GP711MarkerLFM5z4_4000_6527_6645. The panels align the raw signal, normalized signal, and anomaly score for the strongest selected variant on that dataset, making it possible to show exactly where the detector crosses threshold relative to the ground-truth anomaly interval. The selected showcase variant was SAND | Batch 1000 with Range F1 0.821, ROC AUC 1.000, and runtime 3.208s."
matrix_profile_paper_panel,algorithm,Matrix Profile,Matrix Profile paper panel,results\run_sessions\first-try\figures\thesis\matrix_profile_paper_panel.png,results\run_sessions\first-try\figures\thesis\matrix_profile_paper_panel.pdf,"Paper panel for Matrix Profile. The three heatmaps summarize mean Range F1 by dataset variant, series length, and anomaly-ratio regime, while the runtime scatter shows which configured variants convert extra cost into measurable gains. In this run, the strongest Matrix Profile variant was Matrix Profile | Subseq x1 with mean Range F1 0.275 and mean ROC AUC 0.930."
matrix_profile_ablation_panel,ablation,Matrix Profile,Matrix Profile ablation panel,results\run_sessions\first-try\figures\thesis\matrix_profile_ablation_panel.png,results\run_sessions\first-try\figures\thesis\matrix_profile_ablation_panel.pdf,"One-factor-at-a-time ablation panel for Matrix Profile. Horizontal bars report paired deltas against the algorithm baseline, error bars show bootstrap 95% confidence intervals, the runtime scatter isolates cost, and the heatmap shows regime sensitivity by dataset variant. The strongest positive ablation for Matrix Profile in this run was Subseq x1 with mean Range F1 delta +0.014."
matrix_profile_variant_comparison,algorithm,Matrix Profile,Matrix Profile side-by-side variant comparison,results\run_sessions\first-try\figures\thesis\matrix_profile_variant_comparison_143_ucr_anomaly_internalbleeding8_2500_5865_5974.png,results\run_sessions\first-try\figures\thesis\matrix_profile_variant_comparison_143_ucr_anomaly_internalbleeding8_2500_5865_5974.pdf,"Side-by-side comparison of 3 Matrix Profile variants on the shared dataset 143_UCR_Anomaly_InternalBleeding8_2500_5865_5974. The top two panels show the raw and normalized signal with the ground-truth anomaly, and the lower panels compare per-variant score traces and threshold crossings on exactly the same time range."
matrix_profile_showcase,deep_dive,Matrix Profile,Matrix Profile showcase deep dive,results\run_sessions\first-try\figures\thesis\matrix_profile_showcase_031_ucr_anomaly_distortedinternalbleeding20_2700_5759_5919.png,results\run_sessions\first-try\figures\thesis\matrix_profile_showcase_031_ucr_anomaly_distortedinternalbleeding20_2700_5759_5919.pdf,"Showcase deep dive for Matrix Profile on 031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919. The panels align the raw signal, normalized signal, and anomaly score for the strongest selected variant on that dataset, making it possible to show exactly where the detector crosses threshold relative to the ground-truth anomaly interval. The selected showcase variant was Matrix Profile | Subseq x1 with Range F1 0.887, ROC AUC 0.997, and runtime 0.067s."
damp_paper_panel,algorithm,DAMP,DAMP paper panel,results\run_sessions\first-try\figures\thesis\damp_paper_panel.png,results\run_sessions\first-try\figures\thesis\damp_paper_panel.pdf,"Paper panel for DAMP. The three heatmaps summarize mean Range F1 by dataset variant, series length, and anomaly-ratio regime, while the runtime scatter shows which configured variants convert extra cost into measurable gains. In this run, the strongest DAMP variant was DAMP | x_lag x8 with mean Range F1 0.198 and mean ROC AUC 0.867."
damp_ablation_panel,ablation,DAMP,DAMP ablation panel,results\run_sessions\first-try\figures\thesis\damp_ablation_panel.png,results\run_sessions\first-try\figures\thesis\damp_ablation_panel.pdf,"One-factor-at-a-time ablation panel for DAMP. Horizontal bars report paired deltas against the algorithm baseline, error bars show bootstrap 95% confidence intervals, the runtime scatter isolates cost, and the heatmap shows regime sensitivity by dataset variant. The strongest positive ablation for DAMP in this run was x_lag x8 with mean Range F1 delta +0.004."
damp_variant_comparison,algorithm,DAMP,DAMP side-by-side variant comparison,results\run_sessions\first-try\figures\thesis\damp_variant_comparison_173_ucr_anomaly_insectepg1_3000_7000_7030.png,results\run_sessions\first-try\figures\thesis\damp_variant_comparison_173_ucr_anomaly_insectepg1_3000_7000_7030.pdf,"Side-by-side comparison of 3 DAMP variants on the shared dataset 173_UCR_Anomaly_insectEPG1_3000_7000_7030. The top two panels show the raw and normalized signal with the ground-truth anomaly, and the lower panels compare per-variant score traces and threshold crossings on exactly the same time range."
damp_showcase,deep_dive,DAMP,DAMP showcase deep dive,results\run_sessions\first-try\figures\thesis\damp_showcase_031_ucr_anomaly_distortedinternalbleeding20_2700_5759_5919.png,results\run_sessions\first-try\figures\thesis\damp_showcase_031_ucr_anomaly_distortedinternalbleeding20_2700_5759_5919.pdf,"Showcase deep dive for DAMP on 031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919. The panels align the raw signal, normalized signal, and anomaly score for the strongest selected variant on that dataset, making it possible to show exactly where the detector crosses threshold relative to the ground-truth anomaly interval. The selected showcase variant was DAMP | Start x2 with Range F1 0.902, ROC AUC 0.997, and runtime 5.622s."
hbos_paper_panel,algorithm,HBOS,HBOS paper panel,results\run_sessions\first-try\figures\thesis\hbos_paper_panel.png,results\run_sessions\first-try\figures\thesis\hbos_paper_panel.pdf,"Paper panel for HBOS. The three heatmaps summarize mean Range F1 by dataset variant, series length, and anomaly-ratio regime, while the runtime scatter shows which configured variants convert extra cost into measurable gains. In this run, the strongest HBOS variant was HBOS | Bins 20 with mean Range F1 0.100 and mean ROC AUC 0.592."
hbos_ablation_panel,ablation,HBOS,HBOS ablation panel,results\run_sessions\first-try\figures\thesis\hbos_ablation_panel.png,results\run_sessions\first-try\figures\thesis\hbos_ablation_panel.pdf,"One-factor-at-a-time ablation panel for HBOS. Horizontal bars report paired deltas against the algorithm baseline, error bars show bootstrap 95% confidence intervals, the runtime scatter isolates cost, and the heatmap shows regime sensitivity by dataset variant. The strongest positive ablation for HBOS in this run was Bins 20 with mean Range F1 delta +0.005."
hbos_variant_comparison,algorithm,HBOS,HBOS side-by-side variant comparison,results\run_sessions\first-try\figures\thesis\hbos_variant_comparison_133_ucr_anomaly_internalbleeding14_2800_5607_5634.png,results\run_sessions\first-try\figures\thesis\hbos_variant_comparison_133_ucr_anomaly_internalbleeding14_2800_5607_5634.pdf,"Side-by-side comparison of 4 HBOS variants on the shared dataset 133_UCR_Anomaly_InternalBleeding14_2800_5607_5634. The top two panels show the raw and normalized signal with the ground-truth anomaly, and the lower panels compare per-variant score traces and threshold crossings on exactly the same time range."
hbos_showcase,deep_dive,HBOS,HBOS showcase deep dive,results\run_sessions\first-try\figures\thesis\hbos_showcase_162_ucr_anomaly_walkingaceleration5_2700_5920_5979.png,results\run_sessions\first-try\figures\thesis\hbos_showcase_162_ucr_anomaly_walkingaceleration5_2700_5920_5979.pdf,"Showcase deep dive for HBOS on 162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979. The panels align the raw signal, normalized signal, and anomaly score for the strongest selected variant on that dataset, making it possible to show exactly where the detector crosses threshold relative to the ground-truth anomaly interval. The selected showcase variant was HBOS | Baseline with Range F1 0.694, ROC AUC 1.000, and runtime 0.265s."
ocsvm_paper_panel,algorithm,OCSVM,OCSVM paper panel,results\run_sessions\first-try\figures\thesis\ocsvm_paper_panel.png,results\run_sessions\first-try\figures\thesis\ocsvm_paper_panel.pdf,"Paper panel for OCSVM. The three heatmaps summarize mean Range F1 by dataset variant, series length, and anomaly-ratio regime, while the runtime scatter shows which configured variants convert extra cost into measurable gains. In this run, the strongest OCSVM variant was OCSVM | Gamma 0.1 with mean Range F1 0.241 and mean ROC AUC 0.721."
ocsvm_ablation_panel,ablation,OCSVM,OCSVM ablation panel,results\run_sessions\first-try\figures\thesis\ocsvm_ablation_panel.png,results\run_sessions\first-try\figures\thesis\ocsvm_ablation_panel.pdf,"One-factor-at-a-time ablation panel for OCSVM. Horizontal bars report paired deltas against the algorithm baseline, error bars show bootstrap 95% confidence intervals, the runtime scatter isolates cost, and the heatmap shows regime sensitivity by dataset variant. The strongest positive ablation for OCSVM in this run was Gamma 0.1 with mean Range F1 delta +0.037."
ocsvm_variant_comparison,algorithm,OCSVM,OCSVM side-by-side variant comparison,results\run_sessions\first-try\figures\thesis\ocsvm_variant_comparison_139_ucr_anomaly_internalbleeding20_2700_5759_5919.png,results\run_sessions\first-try\figures\thesis\ocsvm_variant_comparison_139_ucr_anomaly_internalbleeding20_2700_5759_5919.pdf,"Side-by-side comparison of 5 OCSVM variants on the shared dataset 139_UCR_Anomaly_InternalBleeding20_2700_5759_5919. The top two panels show the raw and normalized signal with the ground-truth anomaly, and the lower panels compare per-variant score traces and threshold crossings on exactly the same time range."
ocsvm_showcase,deep_dive,OCSVM,OCSVM showcase deep dive,results\run_sessions\first-try\figures\thesis\ocsvm_showcase_130_ucr_anomaly_gp711markerlfm5z4_4000_6527_6645.png,results\run_sessions\first-try\figures\thesis\ocsvm_showcase_130_ucr_anomaly_gp711markerlfm5z4_4000_6527_6645.pdf,"Showcase deep dive for OCSVM on 130_UCR_Anomaly_GP711MarkerLFM5z4_4000_6527_6645. The panels align the raw signal, normalized signal, and anomaly score for the strongest selected variant on that dataset, making it possible to show exactly where the detector crosses threshold relative to the ground-truth anomaly interval. The selected showcase variant was OCSVM | Gamma 0.1 with Range F1 0.642, ROC AUC 0.993, and runtime 0.337s."
pca_paper_panel,algorithm,PCA,PCA paper panel,results\run_sessions\first-try\figures\thesis\pca_paper_panel.png,results\run_sessions\first-try\figures\thesis\pca_paper_panel.pdf,"Paper panel for PCA. The three heatmaps summarize mean Range F1 by dataset variant, series length, and anomaly-ratio regime, while the runtime scatter shows which configured variants convert extra cost into measurable gains. In this run, the strongest PCA variant was PCA | Weighted off with mean Range F1 0.103 and mean ROC AUC 0.571."
pca_ablation_panel,ablation,PCA,PCA ablation panel,results\run_sessions\first-try\figures\thesis\pca_ablation_panel.png,results\run_sessions\first-try\figures\thesis\pca_ablation_panel.pdf,"One-factor-at-a-time ablation panel for PCA. Horizontal bars report paired deltas against the algorithm baseline, error bars show bootstrap 95% confidence intervals, the runtime scatter isolates cost, and the heatmap shows regime sensitivity by dataset variant. The strongest positive ablation for PCA in this run was Weighted off with mean Range F1 delta +0.002."
pca_variant_comparison,algorithm,PCA,PCA side-by-side variant comparison,results\run_sessions\first-try\figures\thesis\pca_variant_comparison_175_ucr_anomaly_insectepg3_5200_7000_7050.png,results\run_sessions\first-try\figures\thesis\pca_variant_comparison_175_ucr_anomaly_insectepg3_5200_7000_7050.pdf,"Side-by-side comparison of 6 PCA variants on the shared dataset 175_UCR_Anomaly_insectEPG3_5200_7000_7050. The top two panels show the raw and normalized signal with the ground-truth anomaly, and the lower panels compare per-variant score traces and threshold crossings on exactly the same time range."
pca_showcase,deep_dive,PCA,PCA showcase deep dive,results\run_sessions\first-try\figures\thesis\pca_showcase_131_ucr_anomaly_gp711markerlfm5z5_5000_8612_8716.png,results\run_sessions\first-try\figures\thesis\pca_showcase_131_ucr_anomaly_gp711markerlfm5z5_5000_8612_8716.pdf,"Showcase deep dive for PCA on 131_UCR_Anomaly_GP711MarkerLFM5z5_5000_8612_8716. The panels align the raw signal, normalized signal, and anomaly score for the strongest selected variant on that dataset, making it possible to show exactly where the detector crosses threshold relative to the ground-truth anomaly interval. The selected showcase variant was PCA | Components 0.95 with Range F1 0.658, ROC AUC 0.993, and runtime 0.051s."
